,Unnamed: 0,old_ind,Hotel_Name,Average_Score,key
66,66,28757,Thistle Kensington Gardens,8.2,"[u'bed', u'breakfast', u'clean', u'close', u'comfortable', u'excellent', u'friendly', u'good', u'great', u'helpful', u'hotel', u'hyde', u'location', u'london', u'lovely', u'nice', u'park', u'really', u'room', u'staff', u'station', u'stay', u'tube', u'view', u'walk']"
67,67,29619,Park Plaza Sherlock Holmes London,8.2,"[u'bed', u'breakfast', u'clean', u'comfortable', u'excellent', u'friendly', u'good', u'great', u'helpful', u'hotel', u'location', u'lovely', u'nice', u'room', u'staff']"
68,68,30211,Hilton Paris Opera,8.4,[u'location']
69,69,30320,The Kensington Hotel,8.7,"[u'friendly', u'good', u'great', u'hotel', u'location', u'room', u'staff']"
70,70,30653,Holiday Inn London Stratford City,8.7,"[u'bed', u'breakfast', u'centre', u'clean', u'comfortable', u'comfy', u'excellent', u'friendly', u'good', u'great', u'helpful', u'hotel', u'location', u'london', u'lovely', u'nice', u'park', u'positive', u'room', u'shop', u'shopping', u'staff', u'stay', u'westfield']"
71,71,31647,Staybridge Suites London Stratford,9.2,"[u'breakfast', u'clean', u'comfortable', u'excellent', u'facility', u'friendly', u'good', u'great', u'helpful', u'hotel', u'location', u'nice', u'room', u'staff', u'stay']"
72,72,32137,Shepherd s Bush Boutique Hotel,8,"[u'bed', u'bush', u'clean', u'close', u'comfortable', u'friendly', u'good', u'great', u'helpful', u'hotel', u'location', u'next', u'nice', u'room', u'shepherd', u'staff', u'station', u'tube', u'westfield']"
73,73,32668,My Bloomsbury,8.1,"[u'bed', u'breakfast', u'clean', u'comfortable', u'excellent', u'friendly', u'good', u'great', u'helpful', u'hotel', u'location', u'nice', u'room', u'staff']"
74,74,33131,Holiday Inn Paris Gare de Lyon Bastille,8.3,"[u'breakfast', u'de', u'friendly', u'gare', u'good', u'great', u'helpful', u'hotel', u'location', u'lyon', u'room', u'staff', u'station']"
75,75,33526,H tel Chaplain Paris Rive Gauche,8.7,"[u'good', u'location', u'room', u'staff']"
76,76,33659,H tel Regina Op ra Grands Boulevards,7.9,[]
77,77,33703,11 Cadogan Gardens,8.7,"[u'location', u'staff']"
78,78,33862,The Wellesley Knightsbridge a Luxury Collection Hotel London,9,[u'staff']
79,79,33939,Hotel Astor Saint Honor ,7.5,[]
80,80,33963,Op ra Marigny,8.1,[u'location']
81,81,34078,H tel Diva Opera,8.3,"[u'friendly', u'hotel', u'location', u'room', u'staff']"
82,82,34311,Le Marcel,8.5,"[u'location', u'room', u'staff']"
83,83,34383,H tel Duo,8.6,"[u'friendly', u'great', u'hotel', u'location', u'room', u'staff']"
84,84,34604,H tel Le Marianne,8.7,[u'location']
85,85,34660,The Rembrandt,8.5,"[u'bed', u'breakfast', u'clean', u'comfortable', u'excellent', u'friendly', u'good', u'great', u'helpful', u'hotel', u'location', u'museum', u'nice', u'room', u'staff', u'stay']"
86,86,35372,Hotel Eden,8.5,[u'staff']
87,87,35442,H tel de la Bourdonnais,8.8,"[u'eiffel', u'friendly', u'good', u'great', u'helpful', u'hotel', u'location', u'nice', u'room', u'staff', u'tower']"
88,88,35804,Ashburn Hotel,8.6,"[u'breakfast', u'friendly', u'good', u'helpful', u'hotel', u'location', u'nice', u'room', u'staff']"
89,89,36043,Marlin Waterloo,8.6,"[u'hotel', u'location', u'room']"
90,90,36127,Best Western Premier Marais Grands Boulevards,8.3,"[u'clean', u'good', u'hotel', u'location', u'room', u'staff']"
91,91,36359,Novotel London Waterloo,8.2,"[u'bed', u'breakfast', u'friendly', u'good', u'location', u'room', u'staff']"
92,92,36646,The Athenaeum,8.1,"[u'location', u'room', u'staff']"
93,93,36835,Park International Hotel,7.8,"[u'breakfast', u'clean', u'comfortable', u'excellent', u'friendly', u'good', u'great', u'helpful', u'hotel', u'location', u'nice', u'positive', u'room', u'staff']"
94,94,37337,Lansbury Heritage Hotel,9.4,[]
95,95,37377,Le Dokhan s a Tribute Portfolio Hotel,7.9,[u'hotel']
96,96,37445,Le Relais Madeleine,8.7,"[u'location', u'room', u'staff']"
97,97,37532,Terrass H tel Montmartre by MH,9,"[u'great', u'helpful', u'hotel', u'location', u'room', u'staff', u'view']"
98,98,37733,Millennium Hotel Paris Opera,7.8,[u'location']
99,99,37858,Waldorf Madeleine,8.4,"[u'friendly', u'good', u'great', u'helpful', u'hotel', u'location', u'room', u'staff']"
100,100,38139,Batty Langley s,9.4,"[u'beautiful', u'bed', u'comfortable', u'friendly', u'great', u'helpful', u'hotel', u'location', u'lovely', u'room', u'staff', u'stay']"
101,101,38484,Best Western Mornington Hotel Hyde Park,8,"[u'bed', u'breakfast', u'clean', u'close', u'comfortable', u'excellent', u'friendly', u'good', u'great', u'helpful', u'hotel', u'hyde', u'location', u'nice', u'paddington', u'park', u'positive', u'room', u'staff', u'station', u'stay', u'tube', u'walk']"
102,102,39308,Arbor City,8.9,"[u'aldgate', u'bathroom', u'bed', u'breakfast', u'city', u'clean', u'close', u'comfortable', u'east', u'excellent', u'friendly', u'good', u'great', u'helpful', u'hotel', u'location', u'london', u'lovely', u'modern', u'nice', u'positive', u'restaurant', u'room', u'shower', u'spacious', u'staff', u'station', u'stay', u'tube', u'walk', u'well']"
103,103,40089,Hotel La Lanterne,9,"[u'great', u'hotel', u'location', u'pool', u'room', u'staff']"
104,104,40185,H tel Square Louvois,9.3,"[u'hotel', u'location', u'room', u'staff']"
105,105,40257,Hotel Marignan Champs Elys es,8.7,"[u'location', u'staff']"
106,106,40419,Le Grey Hotel,9,"[u'hotel', u'room', u'staff']"
107,107,40495,Le Pavillon des Lettres,9,[]
108,108,40535,H tel San R gis,8.7,"[u'hotel', u'location', u'staff']"
109,109,40609,Garden Elys e,8.5,"[u'location', u'staff']"
110,110,40684,Hotel Louvre Montana,8.4,"[u'location', u'staff']"
111,111,40750,Ambassadors Bloomsbury,7.9,"[u'bed', u'clean', u'close', u'comfortable', u'euston', u'excellent', u'friendly', u'good', u'great', u'helpful', u'hotel', u'location', u'nice', u'positive', u'room', u'staff', u'station', u'stay', u'walk']"
112,112,41518,Le 123 S bastopol Astotel,9.3,"[u'hotel', u'room', u'staff']"
113,113,41648,Le 123 Elysees Astotel,9.2,[u'staff']
114,114,41701,The Bryson Hotel,7.8,[u'staff']
115,115,41831,Best Western Mercedes Arc de Triomphe,7.8,"[u'location', u'room']"
116,116,41889,London Marriott Hotel Regents Park,8.3,"[u'bed', u'breakfast', u'clean', u'comfortable', u'excellent', u'facility', u'friendly', u'good', u'great', u'helpful', u'hotel', u'location', u'lovely', u'nice', u'pool', u'positive', u'restaurant', u'room', u'staff', u'stay']"
117,117,42641,Hilton London Hyde Park,7.8,"[u'location', u'room', u'staff']"
118,118,42900,Staunton Hotel B B,8.3,"[u'breakfast', u'good', u'great', u'location', u'room', u'staff']"
119,119,43148,1K Hotel,7.7,[u'room']
120,120,43296,H tel Westminster,8.4,"[u'breakfast', u'excellent', u'friendly', u'good', u'great', u'helpful', u'hotel', u'location', u'room', u'staff']"
121,121,43609,L H tel,8.8,"[u'hotel', u'staff']"
122,122,43688,Mercure Paris Porte d Orleans,7.5,[]
123,123,43698,Maxim Op ra,8.4,[]
124,124,43733,Le Marceau Bastille,8.6,"[u'breakfast', u'room', u'staff']"
125,125,43883,Hotel Odeon Saint Germain,8.6,"[u'friendly', u'location', u'staff']"
126,126,44050,Mercure London Bloomsbury Hotel,8.3,"[u'bed', u'breakfast', u'clean', u'comfortable', u'excellent', u'friendly', u'good', u'great', u'helpful', u'hotel', u'location', u'nice', u'room', u'staff']"
127,127,44652,The Chamberlain,8.9,"[u'also', u'bar', u'bathroom', u'bed', u'beer', u'breakfast', u'clean', u'close', u'comfortable', u'comfy', u'complimentary', u'drink', u'everything', u'excellent', u'food', u'free', u'fridge', u'friendly', u'good', u'great', u'helpful', u'hotel', u'location', u'london', u'lovely', u'nice', u'pub', u'quiet', u'really', u'restaurant', u'room', u'service', u'shower', u'staff', u'station', u'stay', u'tower', u'tube', u'value', u'walk', u'well', u'would']"
128,128,45621,Radisson Blu Edwardian Grafton,8.3,"[u'bed', u'breakfast', u'check', u'clean', u'close', u'comfortable', u'comfy', u'everything', u'excellent', u'food', u'friendly', u'get', u'good', u'great', u'helpful', u'hotel', u'location', u'london', u'lovely', u'next', u'nice', u'positive', u'quiet', u'really', u'reception', u'restaurant', u'room', u'service', u'staff', u'station', u'stay', u'street', u'tube', u'walk', u'warren', u'well', u'would']"
129,129,46975,La Villa Haussmann,9.2,[]
130,130,47016,London Marriott Hotel Marble Arch,8.2,"[u'breakfast', u'excellent', u'friendly', u'good', u'great', u'helpful', u'hotel', u'location', u'room', u'staff']"
131,131,47496,Saint Georges Hotel,7.5,"[u'bed', u'clean', u'comfortable', u'excellent', u'friendly', u'good', u'great', u'helpful', u'hotel', u'location', u'london', u'nice', u'oxford', u'positive', u'room', u'staff', u'street', u'view']"
132,132,48224,Park Grand London Lancaster Gate,8.8,"[u'clean', u'comfortable', u'excellent', u'friendly', u'good', u'great', u'helpful', u'hotel', u'location', u'london', u'make', u'nice', u'paddington', u'room', u'service', u'staff', u'station', u'stay', u'walk', u'welcome', u'well']"
133,133,48780,The Henrietta Hotel,9.2,[]
